sample_id,date_audited,url_private_do_not_publish,industry,business_type,region_optional,contact_email_public,contact_email_source,overall_score,ux_score,seo_score,ai_score,pages_crawled,high_findings_count,medium_findings_count,low_findings_count,top_finding_1,top_finding_2,top_finding_3,missing_clear_h1,missing_meta_description,weak_or_missing_cta,missing_contact_info,missing_local_schema,missing_service_pages,weak_location_signals,missing_reviews_or_testimonials,missing_faq,poor_image_alt_coverage,ai_crawler_block_detected,missing_sitemap,anonymous_example_note,recommended_fix_note,service_clarity_rubric,location_or_audience_clarity_rubric,trust_signals_rubric,crawlability_rubric,structured_data_rubric,faq_answerability_rubric,cta_clarity_rubric,content_depth_rubric,ai_crawler_awareness_rubric,mobile_performance_rubric,rubric_total_score,rubric_reviewer,rubric_notes,spot_check_status,spot_check_notes,include_in_publishable_stats
SB-011,2026-05-25,https://mossconsulting.com/,Professional services,HR consulting,Multi-city/virtual,support@mossconsulting.com,https://mossconsulting.com/privacy-policy,73,75,59,84,4,2,1,0,Show contact information in crawlable text,Add LocalBusiness or ProfessionalService schema,Add local service-area signals,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Add phone/email details in the header, footer, or contact section as real text, not only inside an image.",,,,,,,,,,,,,,raw_report_verified,Scores and issue flags reconciled against the private raw audit report. Mobile/performance was not measured.,TRUE
SB-012,2026-05-25,https://www.septaurasolutions.com/,Professional services,HR consulting,New York/Connecticut,septaurasolutions@gmail.com,https://www.septaurasolutions.com/,49,50,46,50,1,4,5,1,Add a meta description,Add one plain-language H1,Add a strong contact call to action,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,"Add a one-sentence description of who you help, what you do, and how to contact you.",,,,,,,,,,,,,,raw_report_verified,Scores and issue flags reconciled against the private raw audit report. Mobile/performance was not measured.,TRUE
SB-013,2026-05-25,https://warehamlaw.net/,Professional services,Law firm,Wareham MA,attorneyciaffoni@aol.com,https://warehamlaw.net/,72,100,58,59,3,2,3,2,Make the title tag more descriptive,Add a meta description,Add one plain-language H1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,Expand the title with the main service and location or target customer.,,,,,,,,,,,,,,raw_report_verified,Scores and issue flags reconciled against the private raw audit report. Mobile/performance was not measured.,TRUE
SB-014,2026-05-25,https://www.condieadams.com/,Professional services,Law firm,Seattle WA,info@condieadams.com,https://www.condieadams.com/contact,94,100,100,82,2,0,2,0,Create dedicated service pages,Add a short FAQ section,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,"Create one page per main service with who it is for, what is included, pricing cues, FAQs, and a CTA.",,,,,,,,,,,,,,raw_report_verified,Scores and issue flags reconciled against the private raw audit report. Mobile/performance was not measured.,TRUE
SB-015,2026-05-25,https://luminahrservices.com/,Professional services,HR consulting,Los Angeles CA,luminahrservices@gmail.com,https://www.callupcontact.com/b/businessprofile/hr_support_for_small_businesses/10061517,76,84,68,75,5,2,1,0,Show contact information in crawlable text,Add LocalBusiness or ProfessionalService schema,Add a short FAQ section,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,"Add phone/email details in the header, footer, or contact section as real text, not only inside an image.",,,,,,,,,,,,,,raw_report_verified,Scores and issue flags reconciled against the private raw audit report. Mobile/performance was not measured.,TRUE
SB-016,2026-05-25,https://www.balancedflowyoga.net/,Health/wellness/services,Yoga studio,Seattle WA,aliceharperyoga@gmail.com,https://www.balancedflowyoga.net/contact,78,82,69,82,6,0,6,1,Make the title tag more descriptive,Add a meta description,Make the main headline more specific,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,Expand the title with the main service and location or target customer.,,,,,,,,,,,,,,raw_report_verified,Scores and issue flags reconciled against the private raw audit report. Mobile/performance was not measured.,TRUE
SB-017,2026-05-25,https://www.radiantyogaboston.com/,Health/wellness/services,Yoga studio,Boston MA,info@radiantyogaboston.com,https://www.radiantyogaboston.com/,80,82,82,75,6,1,4,0,Add a meta description,Add one plain-language H1,Add local service-area signals,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,"Add a one-sentence description of who you help, what you do, and how to contact you.",,,,,,,,,,,,,,raw_report_verified,Scores and issue flags reconciled against the private raw audit report. Mobile/performance was not measured.,TRUE
SB-018,2026-05-25,https://www.lightonlotus.com/,Health/wellness/services,Yoga studio,Los Angeles CA,info@lightonlotus.com,https://www.union.fit/orgs/light-on-lotus/about,90,82,87,100,6,0,2,1,Add local service-area signals,Add reviews or testimonials,Improve image alt text coverage,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,"Mention the city, region, or service area in headings, footer copy, and service descriptions.",,,,,,,,,,,,,,raw_report_verified,Scores and issue flags reconciled against the private raw audit report. Mobile/performance was not measured.,TRUE
SB-019,2026-05-25,https://www.sourcechirodenver.com/,Health/wellness/services,Chiropractic,Denver CO,info@sourcechirodenver.com,https://www.sourcechirodenver.com/contact-3,86,91,84,84,6,1,1,0,Add LocalBusiness or ProfessionalService schema,Add reviews or testimonials,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Add JSON-LD with business name, URL, phone, address/service area, opening hours, and sameAs profiles.",,,,,,,,,,,,,,raw_report_verified,Scores and issue flags reconciled against the private raw audit report. Mobile/performance was not measured.,TRUE
SB-020,2026-05-25,https://www.santeechiropractic.com/,Health/wellness/services,Chiropractic,San Diego CA,,not found on reviewed public pages for exact sample URL,88,91,100,73,1,0,4,0,Make the main headline more specific,Create dedicated service pages,Add reviews or testimonials,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,"Add the service, audience, and location instead of using a short brand-only headline.",,,,,,,,,,,,,,raw_report_verified,Scores and issue flags reconciled against the private raw audit report. Mobile/performance was not measured.,TRUE
SB-021,2026-05-25,https://tryarena.app/,Startup/SaaS/agency/consultant,SaaS startup,Remote,hello@tryarena.app,https://tryarena.app/privacy,80,91,66,84,6,1,2,0,Make the title tag more descriptive,Add LocalBusiness or ProfessionalService schema,Add local service-area signals,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Expand the title with the main service and location or target customer.,,,,,,,,,,,,,,raw_report_verified,Scores and issue flags reconciled against the private raw audit report. Mobile/performance was not measured.,TRUE
SB-022,2026-05-25,https://www.getstartr.io/,Startup/SaaS/agency/consultant,SaaS startup,Remote,support@getstartr.io,https://www.getstartr.io/terms-of-use,51,50,46,57,1,3,6,1,Make the title tag more descriptive,Make the main headline more specific,Add a strong contact call to action,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,Expand the title with the main service and location or target customer.,,,,,,,,,,,,,,raw_report_verified,Scores and issue flags reconciled against the private raw audit report. Mobile/performance was not measured.,TRUE
SB-023,2026-05-25,https://startupintros.com/,Startup/SaaS/agency/consultant,SaaS startup,Remote,,not found on reviewed public pages,59,66,62,50,1,3,5,1,Add a meta description,Add one plain-language H1,Add a strong contact call to action,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,"Add a one-sentence description of who you help, what you do, and how to contact you.",,,,,,,,,,,,,,raw_report_verified,Scores and issue flags reconciled against the private raw audit report. Mobile/performance was not measured.,TRUE
SB-024,2026-05-25,https://www.stipple.sh/,Startup/SaaS/agency/consultant,SaaS startup,Remote,,not found on reviewed public pages,79,91,71,75,1,1,2,1,Add LocalBusiness or ProfessionalService schema,Create dedicated service pages,Add local service-area signals,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,"Add JSON-LD with business name, URL, phone, address/service area, opening hours, and sameAs profiles.",,,,,,,,,,,,,,raw_report_verified,Scores and issue flags reconciled against the private raw audit report. Mobile/performance was not measured.,TRUE
SB-025,2026-05-25,https://buildos.vip/,Startup/SaaS/agency/consultant,SaaS/community startup,Remote,,not found on reviewed public pages,52,50,55,50,1,4,4,1,Add one plain-language H1,Add a strong contact call to action,Show contact information in crawlable text,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,Use one headline that says exactly what the business is and who it serves.,,,,,,,,,,,,,,raw_report_verified,Scores and issue flags reconciled against the private raw audit report. Mobile/performance was not measured.,TRUE
